Destination_Station_Name,Train_Count
ABHANPUR JN.,2
ABOHAR,1
ABU ROAD,1
ACHHNERA JN.,1
ADILABAD,4
ADRA,15
ADRAJ MOTI,2
AGARTALA,8
AGRA  FORT,6
AGRA CANTT,16
AHMEDABAD,63
AHMEDABAD JN.,3
AIT JN,5
AJMER JN.,27
AJNI,5
AKOLA JN.,4
ALIGARH JN.,10
ALIPUR DUAR JN.,9
ALLAHABAD CITY,6
ALLAHABAD JN.,19
ALLEPPEY,8
ALWAR JN.,2
AMB  ANDAURA,4
AMBALA CANTT JN,31
AMBERNATH,39
AMBIKAPUR,5
AMBLIYASAN JN.,3
AMLA JN.,3
AMRAVATI,15
AMRITSAR JN.,58
AMTA,3
ANAND JN.,24
ANAND VIHAR TERMINAL,46
ANDAL JN.,6
ANDHERI,1
ANGUL,1
ANKLESHWAR JN.,1
ANUPGARH,4
ANUPPUR JN.,2
ARA,6
ARAKKONAM JN,42
ARAMBAG,12
ARSIKERE JN.,4
ASANGAON,20
ASANSOL MAIN,43
ATARI JN,4
AUNRIHAR JN.,3
AURANGABAD,4
AVADI,37
AYODHYA,3
AZAMGARH,4
AZIMGANJ JN.,23
BADAMPAHAR,1
BADARPUR JN.,1
BADLAPUR,35
BADNERA JN.,7
BADSHAHNAGAR,1
BAGALKOT,1
BAGAVATHIPURAM,1
BAHRAICH,9
BAIDYANATHDHAM,10
BAIJNATH PAPROLA,4
BAIYYAPPANAHALLI,3
BAKHTIYARPUR JN.,3
BALAMAU JN.,4
BALANGIR,1
BALASORE,5
BALGONA,6
BALHARSHAH,7
BALICHAK,1
BALLABGARH,1
BALLIA,6
BALLY,1
BALLYGUNGE JN.,1
"BALRAMPUR,",1
BALURGHAT,4
BAMANHAT,3
BANASWADI,2
BANDA JN,1
BANDEL JN.,75
BANDIKUI JN.,3
BANDRA TERMINUS,49
BANGALORE CANTT.,6
BANGAON JN.,48
BANGARPET JN.,10
BANGRIPOSI,3
BANIHAL,11
BANKA,4
BANKURA,10
BARA BANKI JN.,5
BARABHUM,2
BARAMATI,4
BARAMULLA,9
BARASAT JN.,23
BARAUNI JN.,20
BARAUT,1
BARBIL,4
BARDDHAMAN JN.,76
BAREILLY CITY,15
BAREILLY JN.,17
BARHAJ BAZAR,4
BARHARWA JN.,6
BARHNI,3
BARI,1
BARIPADA PH,4
BARKAKANA,8
BARMER,8
BARRACKPORE,19
BARSOI JN.,1
BARSUAN,1
BARUI PARA,3
BARUIPUR JN.,24
BARWADIH JN,5
BASTI,2
BATHINDA JN,17
BATHUA BAZAR HALT,1
BAYANA,4
BEAS JN,4
BELAPUR C.B.D,48
BELDA,1
BELGAUM,4
BELLARY JN.,2
BELURMATH,6
BENOY BADAL DINESH BAG,5
BERHAMPUR,3
BETTIAH,1
BETUL,2
BHABUA ROAD,2
BHADRACHALAM ROAD,3
BHADRAKH,6
BHAGA JN,2
BHAGALPUR,19
BHAGAT-KI-KOTHI,10
BHAGTANWALA,2
BHAIRABI,1
BHALUKPONG,1
BHANJPUR,3
BHANVAD,2
BHARATPUR JN,3
BHARUCH JN.,4
BHATNI JN.,6
BHAVNAGAR TERMINUS,16
BHILAD,1
BHILDI JN,1
BHILWARA,1
BHIMAVARAM JN.,8
BHIMAVARAM TOWN,1
BHIND,5
BHIWANI JN.,9
BHOJUDIH JN.,4
BHONGIR,1
BHOPAL,15
BHUBANESWAR,28
BHUSAVAL JN.,13
BIDAR,7
BIJAPUR JN,6
BIKANER JN.,25
BILARA,1
BILASPUR JN.,30
BINA,10
BIR,2
BIRAUL,3
BIRMITRAPUR,1
BIRUR JN.,1
BISHNUPUR,2
BITRAGUNTA,2
BOBBILI JN.,5
BODHAN,3
BOISAR,1
BOKARO STEEL CITY,5
BOLARUM,3
BOLPUR,2
BORDHAI,1
BORIVLI,2
BOTAD,2
BOTAD JN (MG),5
BUDGAM,10
BUDGE BUDGE,31
BULANDSHAHR,1
BUNIYADPUR,1
BURHWAL JN.,2
BUXAR,3
BYNDOOR,1
CALICUT,5
CANNING,29
CASTLE ROCK,1
CHAIBASA,1
CHAKARADHARPUR,6
CHAKULIA,1
CHALISGAON JN.,3
CHAMRAJANAGAR,5
CHANDAFORT,2
CHANDANPUR,4
CHANDAUSI JN.,2
CHANDIA ROAD,1
CHANDIGARH,17
CHANDRAPURA JN.,1
CHANNA PATNA,1
CHEMBUR,1
CHENGALPATTU,74
CHENNAI BEACH,342
CHENNAI CENTRAL,79
CHENNAI EGMORE,30
CHERVATTUR,1
CHHAPRA JN.,22
CHHAPRA KACHEHRI,2
CHHATRAPATI SHAHU MAHARAJ TERMINUS,18
CHHEOKI,1
CHHINWARA JN,5
CHHOTA UDEPUR,4
CHIKJAJUR JN.,4
CHIKMAGALURU,2
CHIRMIRI,5
CHITRADURG,2
CHITRAKUTDHAM KARWI,1
CHITTAURGARH JN,4
CHITTOOR,1
